id,kanji,yomi
1,将来の夢を語る。,ショウライの夢を語る。
2,辞典で探す。,辞典でサガす。
3,班に分かれる。,ハンに分かれる。
4,地域の方とふれあう。,チイキの方とふれあう。
5,仏様への供え物。,仏様へのソナえ物。
6,地球温暖化。,地球オンダン化。
7,野生のシカが姿を現す。,野生のシカがスガタを現す。
8,宝物をさがす。,タカラモノをさがす。
9,自宅に荷物をとどける。,ジタクに荷物をとどける。
10,神の存在を信じる。,神のソンザイを信じる。
11,俵型のおにぎり。,タワラガタのおにぎり。
12,長い棒をふる。,長いボウをふる。
13,お金が足りなくて困った。,お金が足りなくてコマった。
14,コーヒーに砂糖を入れる。,コーヒーにサトウを入れる。
15,危険な場所には入るな。,キケンな場所には入るな。
16,空腹にたえられない。,クウフクにたえられない。
17,キャベツを刻む。,キャベツをキザむ。
18,大衆から支持を得る。,タイシュウから支持を得る。
19,温泉に入る。,オンセンに入る。
20,単純なつくりの機械。,タンジュンなつくりの機械。
21,学級日誌を書く。,学級ニッシを書く。
22,地層から化石をほり出す。,チソウから化石をほり出す。
23,婦人警官に道を聞く。,婦人ケイカンに道を聞く。
24,幼い子どもの笑い声。,オサナい子どもの笑い声。
25,担任の先生のお話。,タンニンの先生のお話。
26,自転車で日本を縦断する。,自転車で日本をジュウダンする。
27,絵の展覧会に行く。,絵のテンランカイに行く。
28,秘密をもらす。,ヒミツをもらす。
29,まだ未熟なうで前だ。,まだミジュクなうで前だ。
30,せんたくでシャツが縮む。,せんたくでシャツがチヂむ。
31,光が反射する。,光がハンシャする。
32,宗教を信こうする。,シュウキョウを信こうする。
33,試合で足を骨折した。,試合で足をコッセツした。
34,誤解される行動をとる。,ゴカイされる行動をとる。
35,事故で人が死亡する。,事故で人がシボウする。
36,コップが割れる。,コップがワれる。
37,名前を呼ぶ。,名前をヨぶ。
38,蚕のまゆ。,カイコのまゆ。
39,この問題は簡単だ。,この問題はカンタンだ。
40,歌詞を見ながら歌う。,カシを見ながら歌う。
41,命令に従う。,命令にシタガう。
42,童話を創作する。,童話をソウサクする。
43,親孝行な息子。,オヤコウコウな息子。
44,イギリスの貴族。,イギリスのキゾク。
45,聖書を読む。,セイショを読む。
46,経済について学ぶ。,ケイザイについて学ぶ。
47,別冊の付録。,ベッサツの付録。
48,すぐれた頭脳。,すぐれたズノウ。
49,水面に月が映る。,水面に月がウツる。
50,言い訳をしない。,言いワケをしない。
51,遠くに住む祖父を訪ねる。,遠くに住む祖父をタズねる。
52,機械を操作する。,機械をソウサする。
53,意見が異なる。,意見がコトなる。
54,心臓の音をきく。,シンゾウの音をきく。
55,かれの専門は天文学だ。,かれのセンモンは天文学だ。
56,両親を敬う。,両親をウヤマう。
57,初日の出を拝む。,初日の出をオガむ。
58,変わった服装をしている男。,変わったフクソウをしている男。
59,アトラクションに並ぶ。,アトラクションにナラぶ。
60,水を吸収する布。,水をキュウシュウする布。
61,方位磁石が北を指す。,方位ジシャクが北を指す。
62,社員に賃金を支はらう。,社員にチンギンを支はらう。
63,諸国を旅する。,ショコクを旅する。
64,政党の支持率が下がる。,セイトウの支持率が下がる。
65,生ゴミを処理する。,生ゴミをショリする。
66,注文を承る。,注文をウケタマワる。
67,日が暮れる。,日がクれる。
68,灰色の空。,ハイイロの空。
69,時を忘れて楽しむ。,時をワスれて楽しむ。
70,裏庭で遊ぶ。,ウラニワで遊ぶ。
71,転んだが、軽傷ですんだ。,転んだが、ケイショウですんだ。
72,お年玉を銀行に預ける。,お年玉を銀行にアズける。
73,夏になって日が延びた。,夏になって日がノびた。
74,かれを級長に推せんします。,かれを級長にスイせんします。
75,その場を退く。,その場をシリゾく。
76,階段をふみ外す。,カイダンをふみ外す。
77,学級会で討論する。,学級会でトウロンする。
78,この川の源は富士山だ。,この川のミナモトは富士山だ。
79,ゴミを捨てる。,ゴミをスてる。
80,寄らば大樹のかげ。,寄らばタイジュのかげ。
81,金銭の管理をしっかりする。,キンセンの管理をしっかりする。
82,板に穴を開ける。,板にアナを開ける。
83,視力検査を行う。,シリョク検査を行う。
84,机を運ぶ。,ツクエを運ぶ。
85,若者の集まり。,ワカモノの集まり。
86,友人に忠告する。,友人にチュウコクする。
87,周りから批判を浴びる。,周りからヒハンを浴びる。
88,今は満ち潮の時間だ。,今は満ちシオの時間だ。
89,スイカを冷蔵庫に入れる。,スイカをレイゾウコに入れる。
90,合否判定の尺度を決める。,合否判定のシャクドを決める。
91,生まれ故郷を思い出す。,生まれコキョウを思い出す。
92,筋力をつける。,キンリョクをつける。
93,皿を洗う。,皿をアラう。
94,背景を細かくえがいた絵。,ハイケイを細かくえがいた絵。
95,くつが片方ない。,くつがカタホウない。
96,ねじを巻く。,ねじをマく。
97,度胸のすわった人。,ドキョウのすわった人。
98,つり糸を垂らす。,つり糸をタらす。
99,晩ご飯を食べる。,バンご飯を食べる。
100,山頂を目指す。,サンチョウを目指す。
101,目的地に至る。,目的地にイタる。
102,権利を主張する。,ケンリを主張する。
103,写真を拡大する。,写真をカクダイする。
104,医は仁術なり。,医はジンジュツなり。
105,大安売りの宣伝をする。,大安売りのセンデンをする。
106,そう大な規模の計画。,そう大なキボの計画。
107,食欲がない。,ショクヨクがない。
108,栄養を補う。,栄養をオギナう。
109,青い目は父親からの遺伝だ。,青い目は父親からのイデンだ。
110,歯が痛い。,歯がイタい。
111,コンサートは盛り上がった。,コンサートはモり上がった。
112,大事件に発展する。,大事件にハッテンする。
113,穀物を輸入する。,コクモツを輸入する。
114,チーズは乳製品だ。,チーズはニュウセイヒンだ。
115,蒸気の力で動く。,ジョウキの力で動く。
116,郵便切手を買う。,ユウビン切手を買う。
117,不安を取り除く。,不安を取りノゾく。
118,入場券を買う。,ニュウジョウケンを買う。
119,縦書きの原こう用紙を使う。,タテガきの原こう用紙を使う。
120,うわさを否定する。,うわさをヒテイする。
121,恩をあだで返す。,オンをあだで返す。
122,江戸時代の幕府。,江戸時代のバクフ。
123,厳しい暑さが続く。,キビしい暑さが続く。
124,いくつかの疑問が残る。,いくつかのギモンが残る。
125,通勤時間が長い。,ツウキン時間が長い。
126,紅茶を飲む。,コウチャを飲む。
127,楽な姿勢で話を聞く。,楽なシセイで話を聞く。
128,下校の時刻になった。,下校のジコクになった。
129,洗たく物を干す。,洗たく物をホす。
130,腹の底から笑う。,ハラの底から笑う。
131,手紙を届ける。,手紙をトドける。
132,大会で優勝する。,大会でユウショウする。
133,人手不足の対策をたてる。,人手不足のタイサクをたてる。
134,図形を縮小する。,図形をシュクショウする。
135,税金を納める。,税金をオサめる。
136,的に向けて矢を射る。,的に向けて矢をイる。
137,革命が起きる。,カクメイが起きる。
138,規律を守る。,キリツを守る。
