id,kanji,yomi
1,山にのぼる。,ヤマにのぼる。
2,月曜日のじかんわり。,ゲツヨウビのじかんわり。
3,古いおもちゃ。,フルいおもちゃ。
4,おおきな木。,おおきなキ。
5,一年生とあそぶ。,イチネンセイとあそぶ。
6,肉をたべる。,ニクをたべる。
7,七五三のおいわい。,シチゴサンのおいわい。
8,川のながれ。,カワのながれ。
9,けんだまの名人。,けんだまのメイジン。
10,あく手をする。,あくシュをする。
11,プリントを四まいもらう。,プリントをヨンまいもらう。
12,六月六日のてんき。,ロクガツムイカのてんき。
13,よるの八時にねる。,よるのハチジにねる。
14,みかんが九つある。,みかんがココノつある。
15,えんぴつが十本ある。,えんぴつがジッポンある。
16,ゆっくり休む。,ゆっくりヤスむ。
17,車にのる。,クルマにのる。
18,土をほる。,ツチをほる。
19,水をのむ。,ミズをのむ。
20,作文をかく。,サクブンをかく。
21,お金をはらう。,おカネをはらう。
22,貝がらをひろう。,カイがらをひろう。
23,たんにんの先生。,たんにんのセンセイ。
24,ちゅう目する。,ちゅうモクする。
25,早口なしゃべりかた。,ハヤクチなしゃべりかた。
26,まっすぐに立つ。,まっすぐにタつ。
27,会社にいく。,カイシャにいく。
28,北のそら。,キタのそら。
29,二千円もらう。,ニセンエンもらう。
30,どうぶつえんの白くま。,どうぶつえんのシロくま。
31,星空をみあげる。,ホシゾラをみあげる。
32,ていねいな字をかく。,ていねいなジをかく。
33,おおきな犬をかう。,おおきなイヌをかう。
34,竹馬であそぶ。,タケウマであそぶ。
35,きれいな花火。,きれいなハナビ。
36,とおくまで見える。,とおくまでミえる。
37,天のがわ。,アマのがわ。
38,ふりつづく大雨。,ふりつづくオオアメ。
39,道場にかよう。,ドウジョウにかよう。
40,あつさに弱い。,あつさにヨワい。
41,かずが足りない。,かずがタりない。
42,ひろい田んぼ。,ひろいタんぼ。
43,百円玉をひろう。,ヒャクエンダマをひろう。
44,円いおぼん。,マルいおぼん。
45,草むしりをする。,クサむしりをする。
46,きれいな青空。,きれいなアオゾラ。
47,森にすむどうぶつ。,モリにすむどうぶつ。
48,牛をそだてる。,ウシをそだてる。
49,みんなと力をあわせる。,みんなとチカラをあわせる。
50,となりの中学校。,となりのチュウガッコウ。
51,しずかに耳をすます。,しずかにミミをすます。
52,ふえの音いろ。,ふえのネいろ。
53,げんきな子どもたち。,げんきなコどもたち。
54,糸でぬう。,イトでぬう。
55,ねだんが下がる。,ねだんがサがる。
56,さかを上る。,さかをノボる。
57,左右をみる。,サユウをみる。
58,こん虫をかんさつする。,こんチュウをかんさつする。
59,まるい石をひろう。,まるいイシをひろう。
60,ポケットに入れる。,ポケットにイれる。
61,男女でわかれる。,ダンジョでわかれる。
62,ちばけんの市町村。,ちばけんのシチョウソン。
63,げんかんから出る。,げんかんからデる。
64,赤組のおうえん。,アカグミのおうえん。
65,正月のはつもうで。,ショウガツのはつもうで。
66,かんむりをかぶった王さま。,かんむりをかぶったオウさま。
67,うれしい気もち。,うれしいキもち。
68,ものごとを知る。,ものごとをシる。
69,電話をかける。,デンワをかける。
70,おおきな声。,おおきなコエ。
71,そう朝れんしゅう。,そうチョウれんしゅう。
72,読書をたのしむ。,ドクショをたのしむ。
73,楽しいあそび。,タノしいあそび。
74,ひまわりの絵をかく。,ひまわりのエをかく。
75,おとうとを思いやる。,おとうとをオモいやる。
76,ダンスを合わせる。,ダンスをアわせる。
77,理科のじっけん。,リカのじっけん。
78,東西南北。,トウザイナンボク。
79,東京へでかける。,トウキョウへでかける。
80,色紙によせがきをする。,シキシによせがきをする。
81,ひとり言。,ひとりゴト。
82,まちあわせの時間になる。,まちあわせのジカンになる。
83,前にすすむ。,マエにすすむ。
84,元気なあいさつをする。,ゲンキなあいさつをする。
85,サッカーで活やくする。,サッカーでカツやくする。
86,広いにわであそぶ。,ヒロいにわであそぶ。
87,市場でさかなをかう。,イチバでさかなをかう。
88,なつやすみの計画。,なつやすみのケイカク。
89,まっすぐな線をひく。,まっすぐなセンをひく。
90,テストで百点をとる。,テストでヒャクテンをとる。
91,しろぐみの人数。,しろぐみのニンズウ。
92,計算をする。,ケイサンをする。
93,がっこうの校門。,がっこうのコウモン。
94,大工さんのしごと。,ダイクさんのしごと。
95,水道のじゃぐち。,スイドウのじゃぐち。
96,きもちが高まる。,きもちがタカまる。
97,そらが晴れる。,そらがハれる。
98,いえが近い。,いえがチカい。
99,地下にあるちゅうしゃじょう。,チカにあるちゅうしゃじょう。
100,外であそぶ。,ソトであそぶ。
101,夕ぐれのまち。,ユウぐれのまち。
102,里にかえる。,サトにかえる。
103,とりが羽ばたく。,とりがハばたく。
104,にほん地図をみる。,にほんチズをみる。
105,みんなでうみに行く。,みんなでうみにイく。
106,なかのよい友だち。,なかのよいトモだち。
107,国語のきょうかしょ。,コクゴのきょうかしょ。
108,ウサギの足あと。,ウサギのアシあと。
109,公園へでかける。,コウエンへでかける。
110,わたしの妹。,わたしのイモウト。
111,図書室ですごす。,トショシツですごす。
112,かずが多い。,かずがオオい。
113,さんねんせいの教室。,さんねんせいのキョウシツ。
114,何人いるのかかぞえる。,ナンニンいるのかかぞえる。
115,よくにている兄弟。,よくにているキョウダイ。
116,父とでかける。,チチとでかける。
117,母とはなす。,ハハとはなす。
118,姉がふたりいる。,アネがふたりいる。
119,内がわにいく。,ウチがわにいく。
120,みずが少ない。,みずがスクない。
121,一万円はらう。,イチマンエンはらう。
122,ひろい海。,ひろいウミ。
123,ともに歩む。,ともにアユむ。
124,体をきたえる。,カラダをきたえる。
125,あたたかい風がふく。,あたたかいカゼがふく。
126,たんぽぽのわた毛。,たんぽぽのわたゲ。
127,ひとが通る。,ひとがトオる。
128,しつもんに答える。,しつもんにコタえる。
129,黄色のふくをきる。,キイロのふくをきる。
130,家にはいる。,イエにはいる。
131,かねが鳴る。,かねがナる。
132,黒まめをたべる。,クロまめをたべる。
133,しろい雲をながめる。,しろいクモをながめる。
134,おおきな岩石。,おおきなガンセキ。
135,みんなで歌う。,みんなでウタう。
136,いえのそばの林。,いえのそばのハヤシ。
137,きもちを新たにする。,きもちをアラたにする。
138,こえを強める。,こえをツヨめる。
139,とても遠いみちのり。,とてもトオいみちのり。
140,自らまなぶ。,ミズカらまなぶ。
141,ケーキをとり分ける。,ケーキをとりワける。
142,よく考える。,よくカンガえる。
143,せんせいに用がある。,せんせいにヨウがある。
144,心があたたまる。,ココロがあたたまる。
145,新聞をよむ。,シンブンをよむ。
146,へやの明かりをつける。,へやのアかりをつける。
147,親切なともだち。,シンセツなともだち。
148,むかしの刀。,むかしのカタナ。
149,太くておおきい。,フトくておおきい。
150,せい春のおもいで。,せいシュンのおもいで。
151,首をたてにふる。,クビをたてにふる。
152,あつい夏。,あついナツ。
153,小鳥がとまる。,コトリがとまる。
154,池のみずがふえる。,イケのみずがふえる。
155,つきがあかるい夜。,つきがあかるいヨル。
156,魚をつる。,サカナをつる。
157,どくしょの秋。,どくしょのアキ。
158,冬をこす。,フユをこす。
159,めが回る。,めがマワる。
160,いえに帰る。,いえにカエる。
161,ちばけんの方言。,ちばけんのホウゲン。
162,たけで弓矢をつくる。,たけでユミヤをつくる。
163,細長いひもをむすぶ。,ホソナガいひもをむすぶ。
164,そっとてを当てる。,そっとてをアてる。
