id,kanji,yomi
1,軽い石。,カルい石。
2,千葉県に住む。,チバケンに住む。
3,地名の由来。,地名のユライ。
4,手紙の返事を書く。,手紙のヘンジを書く。
5,速度が上がる。,ソクドが上がる。
6,汽笛をきく。,キテキをきく。
7,本の感想を書く。,本のカンソウを書く。
8,ガスの火を消す。,ガスの火をケす。
9,つまずいて転ぶ。,つまずいてコロぶ。
10,落語をききに行く。,ラクゴをききに行く。
11,北の方角を指す。,北の方角をサす。
12,両親に会う。,リョウシンに会う。
13,ふじ山に次ぐ高さの山。,ふじ山にツぐ高さの山。
14,車がゆっくり動く。,車がゆっくりウゴく。
15,べん当を持さんする。,べん当をジさんする。
16,国語の学習をする。,国語のガクシュウをする。
17,気が動転する。,気がドウテンする。
18,あたりの様子をうかがう。,あたりのヨウスをうかがう。
19,さるが木に登る。,さるが木にノボる。
20,美しい夕日。,ウツクしい夕日。
21,セールの期間をえん長する。,セールのキカンをえん長する。
22,区切りをつける。,クギリをつける。
23,話し相手になる。,話しアイテになる。
24,住所と名前を書く。,ジュウショと名前を書く。
25,五丁目にある家。,五チョウメにある家。
26,学級会で話し合う。,ガッキュウカイで話し合う。
27,始業式が近づく。,シギョウシキが近づく。
28,有り金を使いはたす。,アり金を使いはたす。
29,漢字テスト。,カンジテスト。
30,自動車の部品。,自動車のブヒン。
31,パソコンを使う。,パソコンをツカう。
32,短いひも。,ミジカいひも。
33,けっかを発表する。,けっかをハッピョウする。
34,新緑がきれいな五月。,シンリョクがきれいな五月。
35,指を切る。,ユビを切る。
36,太陽の光がまぶしい。,タイヨウの光がまぶしい。
37,広場で野球をする。,広場でヤキュウをする。
38,プールで泳ぐ。,プールでオヨぐ。
39,魚の身をほぐす。,魚のミをほぐす。
40,じん地を死守する。,じん地をシシュする。
41,第一いんしょう。,ダイイチいんしょう。
42,すばやく消火する。,すばやくショウカする。
43,王様に仕える。,王様にツカえる。
44,根気がいる。,コンキがいる。
45,温かいミルク。,アタタかいミルク。
46,真水にすむ魚。,マミズにすむ魚。
47,バスに乗車する。,バスにジョウシャする。
48,長い文章を書く。,長いブンショウを書く。
49,暗号を読みとく。,アンゴウを読みとく。
50,体の調子がよい。,体のチョウシがよい。
51,図書館で本をかりる。,トショカンで本をかりる。
52,問題をとく。,モンダイをとく。
53,文を書き写す。,文を書きウツす。
54,市役所に行く。,シヤクショに行く。
55,言葉の意味を調べる。,言葉のイミを調べる。
56,作せんを練る。,作せんをネる。
57,列車で旅をする。,レッシャで旅をする。
58,英語が全く分からない。,英語がマッタく分からない。
59,好きな詩集を読む。,好きなシシュウを読む。
60,体育委員会。,体育イインカイ。
61,大きな荷物をかつぐ。,大きなニモツをかつぐ。
62,朝の会を始める。,朝の会をハジめる。
63,バスの運行時間。,バスのウンコウ時間。
64,おかしの問屋さん。,おかしのトンヤさん。
65,昭和生まれの人。,ショウワ生まれの人。
66,バットでボールを打つ。,バットでボールをウつ。
67,ごうかな客船。,ごうかなキャクセン。
68,五時に家に着く。,五時に家にツく。
69,後ろをふり向く。,後ろをふりムく。
70,決意をかためる。,ケツイをかためる。
71,都合がよい。,ツゴウがよい。
72,見学を申しこむ。,見学をモウしこむ。
73,ビルの屋上に立つ。,ビルのオクジョウに立つ。
74,手紙を送る。,手紙をオクる。
75,暑中見まいのはがき。,ショチュウ見まいのはがき。
76,幸いにも晴れた。,サイワいにも晴れた。
77,走って息が苦しい。,走って息がクルしい。
78,坂道を自転車で上る。,サカミチを自転車で上る。
79,三階だての家。,サンカイだての家。
80,新しい洋服。,新しいヨウフク。
81,公園で友だちと遊ぶ。,公園で友だちとアソぶ。
82,日本の昔話。,日本のムカシバナシ。
83,寒風がふきつける。,カンプウがふきつける。
84,氷山がとける。,ヒョウザンがとける。
85,南の島でくらす。,南のシマでくらす。
86,クラスの人気者。,クラスのニンキモノ。
87,お話の主人公。,お話のシュジンコウ。
88,ぼくと君は友だちだ。,ぼくとキミは友だちだ。
89,校庭でサッカーをする。,コウテイでサッカーをする。
90,終着駅をしらべる。,シュウチャクエキをしらべる。
91,毎朝歯をみがく。,毎朝ハをみがく。
92,矢を放つ。,矢をハナつ。
93,炭火で肉をやく。,スミビで肉をやく。
94,平等におかしを分ける。,ビョウドウにおかしを分ける。
95,川の対岸に立つ。,川のタイガンに立つ。
96,とびらが開く。,とびらがヒラく。
97,人命をすくう。,ジンメイをすくう。
98,クラスの係。,クラスのカカリ。
